Literature,Category,Variable,Unit,Trt_aCO2 ,Trt_eCO2 ,Trt_CO2_unit,Trt_aP,Trt_eP,Trt_P_unit,Sample Size,aCaP_mean,aCaP_pos,aCaP_neg,aCeP_mean,aCeP_pos,aCeP_neg,eCaP_mean,eCaP_pos,eCaP_neg,eCeP_mean,eCeP_pos,eCeP_neg,Confidence interval type,Species,Vegetation_type,Soil_weight_in_pot,Soil_weight_unit,Pot_volume ,Pot_volume_unit,Experiment_duration,Experimental_duration_unit,Mycorrhizae_Literature,Mycorrhizae,Soil_growth_condition,CO2_exposure_type
Singh et al. 2014,Resource Use Efficiency,NUE ,g2 DW mg-1 N,400,800,ppm,0.01,0.5,mM P,14,0.66,NA,NA,1.34,NA,NA,0.56,NA,NA,1.74,NA,NA,NA,Glycine max,Nonwoody,NA,NA,7.6,L,45,Days,Soudzilovshaia et al. 2019,AM,restricted,chambers
Singh et al. 2014,Resource Use Efficiency,NUE ,g2 DW mg-1 N,400,800,ppm,0.1,0.5,mM P,14,1.22,NA,NA,1.34,NA,NA,1.59,NA,NA,1.74,NA,NA,NA,Glycine max,Nonwoody,NA,NA,7.6,L,45,Days,Soudzilovshaia et al. 2019,AM,restricted,chambers
Singh et al. 2014,Resource Use Efficiency,NUE ,g2 DW mg-1 N,400,800,ppm,0.01,0.5,mM P,14,1.13,NA,NA,3.38,NA,NA,1.18,NA,NA,5.43,NA,NA,NA,Glycine max,Nonwoody,NA,NA,7.6,L,110,Days,Soudzilovshaia et al. 2019,AM,restricted,chambers
Singh et al. 2014,Resource Use Efficiency,NUE ,g2 DW mg-1 N,400,800,ppm,0.1,0.5,mM P,14,2.85,NA,NA,3.38,NA,NA,3.77,NA,NA,5.43,NA,NA,NA,Glycine max,Nonwoody,NA,NA,7.6,L,110,Days,Soudzilovshaia et al. 2019,AM,restricted,chambers
Singh et al. 2014,Nutrient Uptake,Plant P uptake,mg P g-1 root,400,800,ppm,0.01,0.5,mM P,6,6.23,NA,NA,34.2,NA,NA,1.18,NA,NA,5.43,NA,NA,NA,Glycine max,Nonwoody,NA,NA,7.6,L,30,Days,Soudzilovshaia et al. 2019,AM,restricted,chambers
Singh et al. 2014,Nutrient Uptake,Plant P uptake,mg P g-1 root,400,800,ppm,0.1,0.5,mM P,6,13.01,NA,NA,34.2,NA,NA,3.77,NA,NA,5.43,NA,NA,NA,Glycine max,Nonwoody,NA,NA,7.6,L,30,Days,Soudzilovshaia et al. 2019,AM,restricted,chambers
Barrett and Gifford 1995,Biomass,Total plant biomass ,g plant-1,376,652,ppm,2.1,18.2,mg P pot-1,4,1.53,NA,NA,4.45,NA,NA,1.39,NA,NA,2.33,NA,NA,NA,Gossypium hirsutum,Woody,three levels,NA,three levels,NA,77,Days,Soudzilovshaia et al. 2019,AM,Restricted,Chambers
Barrett and Gifford 1995,Biomass,Total plant biomass ,g plant-1,376,935,ppm,2.1,18.2,mg P pot-1,4,1.53,NA,NA,4.45,NA,NA,1.79,NA,NA,6.64,NA,NA,NA,Gossypium hirsutum,Woody,three levels,NA,three levels,NA,77,Days,Soudzilovshaia et al. 2019,AM,Restricted,Chambers
Barrett and Gifford 1995,Biomass,Total plant biomass ,g plant-1,376,652,ppm,6.1,18.2,mg P pot-1,4,2.13,NA,NA,4.45,NA,NA,2.04,NA,NA,2.33,NA,NA,NA,Gossypium hirsutum,Woody,three levels,NA,three levels,NA,77,Days,Soudzilovshaia et al. 2019,AM,Restricted,Chambers
Barrett and Gifford 1995,Biomass,Total plant biomass ,g plant-1,376,935,ppm,6.1,18.2,mg P pot-1,4,2.13,NA,NA,4.45,NA,NA,5.05,NA,NA,6.64,NA,NA,NA,Gossypium hirsutum,Woody,three levels,NA,three levels,NA,77,Days,Soudzilovshaia et al. 2019,AM,Restricted,Chambers
Barrett and Gifford 1995,Biomass,Total plant P content ,mg plant-1,376,652,ppm,2.1,18.2,mg P pot-1,4,2.51,2.8,2.16,9.7,10.2,9.13,1.94,2.22,1.59,9.42,9.84,8.77,SE,Gossypium hirsutum,Woody,three levels,NA,three levels,NA,77,Days,Soudzilovshaia et al. 2019,AM,Restricted,Chambers
Barrett and Gifford 1995,Biomass,Total plant P content ,mg plant-1,376,935,ppm,2.1,18.2,mg P pot-1,4,2.51,2.8,2.16,9.7,10.2,9.13,2.23,2.58,1.8,11.7,12.13,11.2,SE,Gossypium hirsutum,Woody,three levels,NA,three levels,NA,77,Days,Soudzilovshaia et al. 2019,AM,Restricted,Chambers
Barrett and Gifford 1995,Biomass,Total plant P content ,mg plant-1,376,652,ppm,6.1,18.2,mg P pot-1,4,3.61,4.04,3.04,9.7,10.2,9.13,2.9,3.4,2.5,9.42,9.84,8.77,SE,Gossypium hirsutum,Woody,three levels,NA,three levels,NA,77,Days,Soudzilovshaia et al. 2019,AM,Restricted,Chambers
Barrett and Gifford 1995,Biomass,Total plant P content ,mg plant-1,376,935,ppm,6.1,18.2,mg P pot-1,4,3.61,4.04,3.04,9.7,10.2,9.13,3.83,4.47,3.4,11.7,12.13,11.2,SE,Gossypium hirsutum,Woody,three levels,NA,three levels,NA,77,Days,Soudzilovshaia et al. 2019,AM,Restricted,Chambers
Barrett and Gifford 1995,Nutrient Uptake,Plant P uptake,mg P g-1 root,376,652,ppm,2.1,18.2,mg P root-1,4,2.45,NA,NA,4.44,NA,NA,2.13,NA,NA,2.92,NA,NA,NA,Gossypium hirsutum,Woody,three levels,NA,three levels,NA,77,Days,Soudzilovshaia et al. 2019,AM,Restricted,Chambers
Barrett and Gifford 1995,Nutrient Uptake,Plant P uptake,mg P g-1 root,376,935,ppm,2.1,18.2,mg P root-1,4,2.45,NA,NA,4.44,NA,NA,2.43,NA,NA,4.42,NA,NA,NA,Gossypium hirsutum,Woody,three levels,NA,three levels,NA,77,Days,Soudzilovshaia et al. 2019,AM,Restricted,Chambers
Barrett and Gifford 1995,Nutrient Uptake,Plant P uptake,mg P g-1 root,376,652,ppm,6.1,18.2,mg P root-1,4,2.92,NA,NA,4.44,NA,NA,3.29,NA,NA,2.92,NA,NA,NA,Gossypium hirsutum,Woody,three levels,NA,three levels,NA,77,Days,Soudzilovshaia et al. 2019,AM,Restricted,Chambers
Barrett and Gifford 1995,Nutrient Uptake,Plant P uptake,mg P g-1 root,376,935,ppm,6.1,18.2,mg P root-1,4,2.92,NA,NA,4.44,NA,NA,4.07,NA,NA,4.42,NA,NA,NA,Gossypium hirsutum,Woody,three levels,NA,three levels,NA,77,Days,Soudzilovshaia et al. 2019,AM,Restricted,Chambers
Barrett and Gifford 1995,Resource Use Efficiency,PUE ,g2 DW mg-1 P,376,652,ppm,2.1,18.2,mg P pot-1,4,6.23,NA,NA,7.53,NA,NA,6.77,NA,NA,9.76,NA,NA,NA,Gossypium hirsutum,Woody,three levels,NA,three levels,NA,77,Days,Soudzilovshaia et al. 2019,AM,Restricted,Chambers
Barrett and Gifford 1995,Resource Use Efficiency,PUE ,g2 DW mg-1 P,376,935,ppm,2.1,18.2,mg P pot-1,4,6.23,NA,NA,7.53,NA,NA,8.19,NA,NA,20.55,NA,NA,NA,Gossypium hirsutum,Woody,three levels,NA,three levels,NA,77,Days,Soudzilovshaia et al. 2019,AM,Restricted,Chambers
Barrett and Gifford 1995,Resource Use Efficiency,PUE ,g2 DW mg-1 P,376,652,ppm,6.1,18.2,mg P pot-1,4,7.53,NA,NA,11.17,NA,NA,8.87,NA,NA,9.76,NA,NA,NA,Gossypium hirsutum,Woody,three levels,NA,three levels,NA,77,Days,Soudzilovshaia et al. 2019,AM,Restricted,Chambers
Barrett and Gifford 1995,Resource Use Efficiency,PUE ,g2 DW mg-1 P,376,935,ppm,6.1,18.2,mg P pot-1,4,7.53,NA,NA,11.17,NA,NA,15.37,NA,NA,20.55,NA,NA,NA,Gossypium hirsutum,Woody,three levels,NA,three levels,NA,77,Days,Soudzilovshaia et al. 2019,AM,Restricted,Chambers
Singh et al. 2014,Nutrient Uptake,Plant P uptake,mg P g-1 root,400,800,ppm,0.01,0.5,mM P,6,6.17,NA,NA,34.26,NA,NA,4.88,NA,NA,42.26,NA,NA,NA,Glycine max,Nonwoody,NA,NA,7.6,L,45,Days,Soudzilovshaia et al. 2019,AM,restricted,chambers
Singh et al. 2014,Nutrient Uptake,Plant P uptake,mg P g-1 root,400,800,ppm,0.1,0.5,mM P,6,10.3,NA,NA,34.26,NA,NA,13.01,NA,NA,42.26,NA,NA,NA,Glycine max,Nonwoody,NA,NA,7.6,L,45,Days,Soudzilovshaia et al. 2019,AM,restricted,chambers
Singh et al. 2014,Nutrient Uptake,Plant P uptake,mg P g-1 root,400,800,ppm,0.01,0.5,mM P,6,16.5,NA,NA,159.3,NA,NA,12.3,NA,NA,171.8,NA,NA,NA,Glycine max,Nonwoody,NA,NA,7.6,L,110,Days,Soudzilovshaia et al. 2019,AM,restricted,chambers
Singh et al. 2014,Nutrient Uptake,Plant P uptake,mg P g-1 root,400,800,ppm,0.1,0.5,mM P,6,40.9,NA,NA,159.3,NA,NA,32.1,NA,NA,171.8,NA,NA,NA,Glycine max,Nonwoody,NA,NA,7.6,L,110,Days,Soudzilovshaia et al. 2019,AM,restricted,chambers
Singh et al. 2014,Nutrient Uptake,Plant N uptake,mg N g-1 root,400,800,ppm,0.01,0.5,mM P,6,199.3,NA,NA,299.7,NA,NA,173.9,NA,NA,315,NA,NA,NA,Glycine max,Nonwoody,NA,NA,7.6,L,30,Days,Soudzilovshaia et al. 2019,AM,restricted,chambers
Singh et al. 2014,Nutrient Uptake,Plant N uptake,mg N g-1 root,400,800,ppm,0.1,0.5,mM P,6,251.7,NA,NA,299.7,NA,NA,214.4,NA,NA,315,NA,NA,NA,Glycine max,Nonwoody,NA,NA,7.6,L,30,Days,Soudzilovshaia et al. 2019,AM,restricted,chambers
Singh et al. 2014,Nutrient Uptake,Plant N uptake,mg N g-1 root,400,800,ppm,0.01,0.5,mM P,6,234.5,NA,NA,291,NA,NA,206.7,NA,NA,368.1,NA,NA,NA,Glycine max,Nonwoody,NA,NA,7.6,L,45,Days,Soudzilovshaia et al. 2019,AM,restricted,chambers
Singh et al. 2014,Nutrient Uptake,Plant N uptake,mg N g-1 root,400,800,ppm,0.1,0.5,mM P,6,236.1,NA,NA,291,NA,NA,281.5,NA,NA,368.1,NA,NA,NA,Glycine max,Nonwoody,NA,NA,7.6,L,45,Days,Soudzilovshaia et al. 2019,AM,restricted,chambers
Singh et al. 2014,Nutrient Uptake,Plant N uptake,mg N g-1 root,400,800,ppm,0.01,0.5,mM P,6,481.2,NA,NA,1103.3,NA,NA,420.6,NA,NA,1351.4,NA,NA,NA,Glycine max,Nonwoody,NA,NA,7.6,L,110,Days,Soudzilovshaia et al. 2019,AM,restricted,chambers
Singh et al. 2014,Nutrient Uptake,Plant N uptake,mg N g-1 root,400,800,ppm,0.1,0.5,mM P,6,481.2,NA,NA,1103.3,NA,NA,618.1,NA,NA,1351.4,NA,NA,NA,Glycine max,Nonwoody,NA,NA,7.6,L,110,Days,Soudzilovshaia et al. 2019,AM,restricted,chambers
Singh and Reddy 2014,Resource Use Efficiency,WUE ,umol CO2 mol-1 H2O,400,800,ppm,0.01,0.5,mM P,2,66.93,NA,NA,75.63,NA,NA,164.32,NA,NA,122.77,NA,NA,NA,Glycine max,Nonwoody,NA,NA,7.6,L,112,Days,Soudzilovshaia et al. 2019,AM,restricted,chambers
Singh and Reddy 2014,Resource Use Efficiency,WUE ,umol CO2 mol-1 H2O,400,800,ppm,0.1,0.5,mM P,2,82.13,NA,NA,75.63,NA,NA,137.7,NA,NA,122.77,NA,NA,NA,Glycine max,Nonwoody,NA,NA,7.6,L,112,Days,Soudzilovshaia et al. 2019,AM,restricted,chambers
Singh and Reddy 2014,Resource Use Efficiency,PUE,g2 DW mg-1 P,400,800,ppm,0.01,0.5,mM P,2,9.69,NA,NA,41.61,NA,NA,17.67,NA,NA,73.87,NA,NA,NA,Glycine max,Nonwoody,NA,NA,7.6,L,84,Days,Soudzilovshaia et al. 2019,AM,restricted,chambers
Singh and Reddy 2014,Resource Use Efficiency,PUE,g2 DW mg-1 P,400,800,ppm,0.1,0.5,mM P,2,10.93,NA,NA,41.61,NA,NA,32.6,NA,NA,73.87,NA,NA,NA,Glycine max,Nonwoody,NA,NA,7.6,L,84,Days,Soudzilovshaia et al. 2019,AM,restricted,chambers
Singh and Reddy 2014,Resource Use Efficiency,PUE,g2 DW mg-1 P,400,800,ppm,0.01,0.5,mM P,2,10.06,NA,NA,110.77,NA,NA,5.92,NA,NA,222.16,NA,NA,NA,Glycine max,Nonwoody,NA,NA,7.6,L,112,Days,Soudzilovshaia et al. 2019,AM,restricted,chambers
Singh and Reddy 2014,Resource Use Efficiency,PUE,g2 DW mg-1 P,400,800,ppm,0.1,0.5,mM P,2,34,NA,NA,110.77,NA,NA,35.64,NA,NA,222.16,NA,NA,NA,Glycine max,Nonwoody,NA,NA,7.6,L,112,Days,Soudzilovshaia et al. 2019,AM,restricted,chambers
Singh and Reddy 2014,Resource Use Efficiency,PUE,g2 DW mg-1 P,400,800,ppm,0.01,0.5,mM P,2,14.36,NA,NA,15.77,NA,NA,12.34,NA,NA,25.77,NA,NA,NA,Glycine max,Nonwoody,NA,NA,7.6,L,67,Days,Soudzilovshaia et al. 2019,AM,restricted,chambers
Singh and Reddy 2014,Resource Use Efficiency,PUE,g2 DW mg-1 P,400,800,ppm,0.1,0.5,mM P,2,18.04,NA,NA,15.77,NA,NA,18.3,NA,NA,25.77,NA,NA,NA,Glycine max,Nonwoody,NA,NA,7.6,L,67,Days,Soudzilovshaia et al. 2019,AM,restricted,chambers
Singh and Reddy 2014,Resource Use Efficiency,PUE,g2 DW mg-1 P,400,800,ppm,0.01,0.5,mM P,2,24.96,NA,NA,74.79,NA,NA,32.76,NA,NA,90.48,NA,NA,NA,Glycine max,Nonwoody,NA,NA,7.6,L,91,Days,Soudzilovshaia et al. 2019,AM,restricted,chambers
Singh and Reddy 2014,Resource Use Efficiency,PUE,g2 DW mg-1 P,400,800,ppm,0.1,0.5,mM P,2,25.9,NA,NA,74.79,NA,NA,31.85,NA,NA,90.48,NA,NA,NA,Glycine max,Nonwoody,NA,NA,7.6,L,91,Days,Soudzilovshaia et al. 2019,AM,restricted,chambers
Singh and Reddy 2014,Resource Use Efficiency,NUE,g2 DW mg-1 N,400,800,ppm,0.01,0.5,mM P,2,0.31,NA,NA,2.55,NA,NA,0.71,NA,NA,3.92,NA,NA,NA,Glycine max,Nonwoody,NA,NA,7.6,L,84,Days,Soudzilovshaia et al. 2019,AM,restricted,chambers
Singh and Reddy 2014,Resource Use Efficiency,NUE,g2 DW mg-1 N,400,800,ppm,0.1,0.5,mM P,2,0.36,NA,NA,2.55,NA,NA,1.12,NA,NA,3.92,NA,NA,NA,Glycine max,Nonwoody,NA,NA,7.6,L,84,Days,Soudzilovshaia et al. 2019,AM,restricted,chambers
Singh and Reddy 2014,Resource Use Efficiency,NUE,g2 DW mg-1 N,400,800,ppm,0.01,0.5,mM P,2,0.2,NA,NA,4.24,NA,NA,0.18,NA,NA,7.71,NA,NA,NA,Glycine max,Nonwoody,NA,NA,7.6,L,112,Days,Soudzilovshaia et al. 2019,AM,restricted,chambers
Singh and Reddy 2014,Resource Use Efficiency,NUE,g2 DW mg-1 N,400,800,ppm,0.1,0.5,mM P,2,0.86,NA,NA,4.24,NA,NA,0.83,NA,NA,7.71,NA,NA,NA,Glycine max,Nonwoody,NA,NA,7.6,L,112,Days,Soudzilovshaia et al. 2019,AM,restricted,chambers
Singh and Reddy 2014,Resource Use Efficiency,NUE,g2 DW mg-1 N,400,800,ppm,0.01,0.5,mM P,2,0.26,NA,NA,0.57,NA,NA,0.28,NA,NA,0.92,NA,NA,NA,Glycine max,Nonwoody,NA,NA,7.6,L,67,Days,Soudzilovshaia et al. 2019,AM,restricted,chambers
Singh and Reddy 2014,Resource Use Efficiency,NUE,g2 DW mg-1 N,400,800,ppm,0.1,0.5,mM P,2,0.37,NA,NA,0.57,NA,NA,0.3,NA,NA,0.92,NA,NA,NA,Glycine max,Nonwoody,NA,NA,7.6,L,67,Days,Soudzilovshaia et al. 2019,AM,restricted,chambers
Singh and Reddy 2014,Resource Use Efficiency,NUE,g2 DW mg-1 N,400,800,ppm,0.01,0.5,mM P,2,0.54,NA,NA,2.43,NA,NA,0.67,NA,NA,4.09,NA,NA,NA,Glycine max,Nonwoody,NA,NA,7.6,L,91,Days,Soudzilovshaia et al. 2019,AM,restricted,chambers
Singh and Reddy 2014,Resource Use Efficiency,NUE,g2 DW mg-1 N,400,800,ppm,0.1,0.5,mM P,2,0.51,NA,NA,2.43,NA,NA,0.98,NA,NA,4.09,NA,NA,NA,Glycine max,Nonwoody,NA,NA,7.6,L,91,Days,Soudzilovshaia et al. 2019,AM,restricted,chambers
Singh and Reddy 2014,Resource Use Efficiency,PUE,g (umol CO2 m-2 s1) mg-1 P,400,800,ppm,0.01,0.5,mM P,2,16.01,NA,NA,23.25,NA,NA,15.91,NA,NA,33.95,NA,NA,NA,Glycine max,Nonwoody,NA,NA,7.6,L,112,Days,Soudzilovshaia et al. 2019,AM,restricted,chambers
Singh and Reddy 2014,Resource Use Efficiency,PUE,g (umol CO2 m-2 s1) mg-1 P,400,800,ppm,0.1,0.5,mM P,2,17.27,NA,NA,23.25,NA,NA,27,NA,NA,33.95,NA,NA,NA,Glycine max,Nonwoody,NA,NA,7.6,L,112,Days,Soudzilovshaia et al. 2019,AM,restricted,chambers
Singh and Reddy 2014,Resource Use Efficiency,NUE,g (umol CO2 m-2 s1) mg-1 N,400,800,ppm,0.01,0.5,mM P,2,2.76,NA,NA,8.57,NA,NA,3.2,NA,NA,13.13,NA,NA,NA,Glycine max,Nonwoody,NA,NA,7.6,L,112,Days,Soudzilovshaia et al. 2019,AM,restricted,chambers
Singh and Reddy 2014,Resource Use Efficiency,NUE,g (umol CO2 m-2 s1) mg-1 N,400,800,ppm,0.1,0.5,mM P,2,3.33,NA,NA,8.57,NA,NA,5.45,NA,NA,13.13,NA,NA,NA,Glycine max,Nonwoody,NA,NA,7.6,L,112,Days,Soudzilovshaia et al. 2019,AM,restricted,chambers
Singh and Reddy 2014,Nutrient Uptake,Plant P uptake,mg P g-1 root,400,800,ppm,0.01,0.5,mM P,2,1.99,NA,NA,5.99,NA,NA,1.85,NA,NA,6.69,NA,NA,NA,Glycine max,Nonwoody,NA,NA,7.6,L,84,Days,Soudzilovshaia et al. 2019,AM,restricted,chambers
Singh and Reddy 2014,Nutrient Uptake,Plant P uptake,mg P g-1 root,400,800,ppm,0.1,0.5,mM P,2,2.62,NA,NA,5.99,NA,NA,2.61,NA,NA,6.69,NA,NA,NA,Glycine max,Nonwoody,NA,NA,7.6,L,84,Days,Soudzilovshaia et al. 2019,AM,restricted,chambers
Singh and Reddy 2014,Nutrient Uptake,Plant P uptake,mg P g-1 root,400,800,ppm,0.01,0.5,mM P,2,1.06,NA,NA,5.35,NA,NA,1.24,NA,NA,5,NA,NA,NA,Glycine max,Nonwoody,NA,NA,7.6,L,112,Days,Soudzilovshaia et al. 2019,AM,restricted,chambers
Singh and Reddy 2014,Nutrient Uptake,Plant P uptake,mg P g-1 root,400,800,ppm,0.1,0.5,mM P,2,2.93,NA,NA,5.35,NA,NA,2.9,NA,NA,5,NA,NA,NA,Glycine max,Nonwoody,NA,NA,7.6,L,112,Days,Soudzilovshaia et al. 2019,AM,restricted,chambers
Singh and Reddy 2014,Nutrient Uptake,Plant P uptake,mg P g-1 root,400,800,ppm,0.01,0.5,mM P,2,1.47,NA,NA,3.95,NA,NA,1.65,NA,NA,4.23,NA,NA,NA,Glycine max,Nonwoody,NA,NA,7.6,L,67,Days,Soudzilovshaia et al. 2019,AM,restricted,chambers
Singh and Reddy 2014,Nutrient Uptake,Plant P uptake,mg P g-1 root,400,800,ppm,0.1,0.5,mM P,2,1.6,NA,NA,3.95,NA,NA,2.05,NA,NA,4.23,NA,NA,NA,Glycine max,Nonwoody,NA,NA,7.6,L,67,Days,Soudzilovshaia et al. 2019,AM,restricted,chambers
Singh and Reddy 2014,Nutrient Uptake,Plant P uptake,mg P g-1 root,400,800,ppm,0.01,0.5,mM P,2,1.71,NA,NA,5.41,NA,NA,1.37,NA,NA,6.68,NA,NA,NA,Glycine max,Nonwoody,NA,NA,7.6,L,91,Days,Soudzilovshaia et al. 2019,AM,restricted,chambers
Singh and Reddy 2014,Nutrient Uptake,Plant P uptake,mg P g-1 root,400,800,ppm,0.1,0.5,mM P,2,2,NA,NA,5.41,NA,NA,2.36,NA,NA,6.68,NA,NA,NA,Glycine max,Nonwoody,NA,NA,7.6,L,91,Days,Soudzilovshaia et al. 2019,AM,restricted,chambers
Singh and Reddy 2014,Nutrient Uptake,Plant N uptake,mg N g-1 root,400,800,ppm,0.01,0.5,mM P,2,64.58,NA,NA,97.9,NA,NA,44.8,NA,NA,125.2,NA,NA,NA,Glycine max,Nonwoody,NA,NA,7.6,L,84,Days,Soudzilovshaia et al. 2019,AM,restricted,chambers
Singh and Reddy 2014,Nutrient Uptake,Plant N uptake,mg N g-1 root,400,800,ppm,0.1,0.5,mM P,2,78.71,NA,NA,97.9,NA,NA,80.3,NA,NA,125.2,NA,NA,NA,Glycine max,Nonwoody,NA,NA,7.6,L,84,Days,Soudzilovshaia et al. 2019,AM,restricted,chambers
Singh and Reddy 2014,Nutrient Uptake,Plant N uptake,mg N g-1 root,400,800,ppm,0.01,0.5,mM P,2,43.6,NA,NA,156.2,NA,NA,48.4,NA,NA,145.3,NA,NA,NA,Glycine max,Nonwoody,NA,NA,7.6,L,112,Days,Soudzilovshaia et al. 2019,AM,restricted,chambers
Singh and Reddy 2014,Nutrient Uptake,Plant N uptake,mg N g-1 root,400,800,ppm,0.1,0.5,mM P,2,113.2,NA,NA,156.2,NA,NA,125,NA,NA,145.3,NA,NA,NA,Glycine max,Nonwoody,NA,NA,7.6,L,112,Days,Soudzilovshaia et al. 2019,AM,restricted,chambers
Singh and Reddy 2014,Nutrient Uptake,Plant N uptake,mg N g-1 root,400,800,ppm,0.01,0.5,mM P,2,73.8,NA,NA,108.6,NA,NA,70.8,NA,NA,115.1,NA,NA,NA,Glycine max,Nonwoody,NA,NA,7.6,L,67,Days,Soudzilovshaia et al. 2019,AM,restricted,chambers
Singh and Reddy 2014,Nutrient Uptake,Plant N uptake,mg N g-1 root,400,800,ppm,0.1,0.5,mM P,2,79,NA,NA,108.6,NA,NA,89.4,NA,NA,115.1,NA,NA,NA,Glycine max,Nonwoody,NA,NA,7.6,L,67,Days,Soudzilovshaia et al. 2019,AM,restricted,chambers
Singh and Reddy 2014,Nutrient Uptake,Plant N uptake,mg N g-1 root,400,800,ppm,0.01,0.5,mM P,2,81.2,NA,NA,163.2,NA,NA,47.5,NA,NA,156.7,NA,NA,NA,Glycine max,Nonwoody,NA,NA,7.6,L,91,Days,Soudzilovshaia et al. 2019,AM,restricted,chambers
Singh and Reddy 2014,Nutrient Uptake,Plant N uptake,mg N g-1 root,400,800,ppm,0.1,0.5,mM P,2,99.9,NA,NA,163.2,NA,NA,91.2,NA,NA,156.7,NA,NA,NA,Glycine max,Nonwoody,NA,NA,7.6,L,91,Days,Soudzilovshaia et al. 2019,AM,restricted,chambers
Israel et al. 1990,Concentration,Total plant P concentration,mg P g-1 plant,350,700,ppm,0.1,0.5,mM KH2PO4 of 1 L,4,0.000490066,NA,NA,0.00076502,NA,NA,0.000235431,NA,NA,0.000389796,NA,NA,NA,Glycine max,Nonwoody,NA,NA,NA,NA,27,Days,Soudzilovshaia et al. 2019,AM,restricted,chambers
Israel et al. 1990,Morphology,SLA,dm2 g-1,350,700,ppm,0.1,0.5,mM KH2PO4 of 1 L,4,0.15625,NA,NA,0.064516129,NA,NA,0.095238095,NA,NA,0.04587156,NA,NA,NA,Glycine max,Nonwoody,NA,NA,NA,NA,27,Days,Soudzilovshaia et al. 2019,AM,restricted,chambers
Sa and Isreal 1998,Biomass,Total plant N content,mg N plant-1,400,800,ppm,0.05,1,mM P,3,182.7072,NA,NA,1026.7281,NA,NA,314.1788,NA,NA,2829.631,NA,NA,NA,Glycine max,Nonwoody,NA,NA,NA,NA,35,Days,Soudzilovshaia et al. 2019,AM,restricted,chambers
Sa and Isreal 1998,Biomass,Total plant P content ,mg P plant-1,400,800,ppm,0.05,1,mM P,3,7.632,NA,NA,95.274,NA,NA,12.3318,NA,NA,253.6986,NA,NA,NA,Glycine max,Nonwoody,NA,NA,NA,NA,35,Days,Soudzilovshaia et al. 2019,AM,restricted,chambers
Sa and Isreal 1998,Nutrient Ratio,Total NP ratio,unitless,400,800,ppm,0.05,1,mM P,3,23.93962264,NA,NA,10.77658228,NA,NA,25.47712418,NA,NA,11.15351445,NA,NA,NA,Glycine max,Nonwoody,NA,NA,NA,NA,35,Days,Soudzilovshaia et al. 2019,AM,restricted,chambers
Singh et al. 2014,Morphology,LMA,g cm-2,400,800,ppm,0.01,0.5,mM P,6,0.007311669,NA,NA,0.004596835,NA,NA,0.006414219,NA,NA,0.005023677,NA,NA,NA,Glycine max,Nonwoody,NA,NA,7.6,L,45,Days,Soudzilovshaia et al. 2019,AM,restricted,chambers
Singh et al. 2014,Morphology,LMA,g cm-2,400,800,ppm,0.1,0.5,mM P,6,0.006341642,NA,NA,0.004596835,NA,NA,0.006825397,NA,NA,0.005023677,NA,NA,NA,Glycine max,Nonwoody,NA,NA,7.6,L,45,Days,Soudzilovshaia et al. 2019,AM,restricted,chambers
Singh et al. 2014,Biomass,Leaf P content,mg P plant-1,400,800,ppm,0.01,0.5,mM P,12,8.4781,NA,NA,40.0928,NA,NA,6.5926,NA,NA,49.674,NA,NA,NA,Glycine max,Nonwoody,NA,NA,7.6,L,30,Days,Soudzilovshaia et al. 2019,AM,restricted,chambers
Singh et al. 2014,Biomass,Leaf P content,mg P plant-1,400,800,ppm,0.1,0.5,mM P,12,19.3884,NA,NA,40.0928,NA,NA,16.3236,NA,NA,49.674,NA,NA,NA,Glycine max,Nonwoody,NA,NA,7.6,L,30,Days,Soudzilovshaia et al. 2019,AM,restricted,chambers
Singh et al. 2014,Biomass,Leaf P content,mg P plant-1,400,800,ppm,0.01,0.5,mM P,14,8.118,NA,NA,76.677,NA,NA,6.225,NA,NA,91.744,NA,NA,NA,Glycine max,Nonwoody,NA,NA,7.6,L,45,Days,Soudzilovshaia et al. 2019,AM,restricted,chambers
Singh et al. 2014,Biomass,Leaf P content,mg P plant-1,400,800,ppm,0.1,0.5,mM P,14,30.102,NA,NA,76.677,NA,NA,32.465,NA,NA,91.744,NA,NA,NA,Glycine max,Nonwoody,NA,NA,7.6,L,45,Days,Soudzilovshaia et al. 2019,AM,restricted,chambers
Singh et al. 2014,Biomass,Leaf P content,mg P plant-1,400,800,ppm,0.01,0.5,mM P,14,10.44,NA,NA,110.973,NA,NA,5.406,NA,NA,144.872,NA,NA,NA,Glycine max,Nonwoody,NA,NA,7.6,L,110,Days,Soudzilovshaia et al. 2019,AM,restricted,chambers
Singh et al. 2014,Biomass,Leaf P content,mg P plant-1,400,800,ppm,0.1,0.5,mM P,14,45.936,NA,NA,110.973,NA,NA,33.087,NA,NA,144.872,NA,NA,NA,Glycine max,Nonwoody,NA,NA,7.6,L,110,Days,Soudzilovshaia et al. 2019,AM,restricted,chambers
Singh et al. 2014,Biomass,Stem P content,mg P plant-1,400,800,ppm,0.01,0.5,mM P,12,3.8934,NA,NA,25.795,NA,NA,4.104,NA,NA,32.571,NA,NA,NA,Glycine max,Nonwoody,NA,NA,7.6,L,30,Days,Soudzilovshaia et al. 2019,AM,restricted,chambers
